order_id,order_date,user_id,name,city,membership,restaurant_id,restaurant_name,cuisine,rating,total_amount,year,month,month_name,day_of_week,quarter,week_of_year,is_weekend,season,order_size
1,2023-02-18,2508,User_2508,Hyderabad,Regular,450,New Foods Chinese,,,842.97,2023,2,February,Saturday,1,7,True,Winter,Large
2,2023-01-18,2693,User_2693,Pune,Regular,309,Ruchi Curry House Multicuisine,,,546.68,2023,1,January,Wednesday,1,3,False,Winter,Medium
3,2023-07-15,2084,User_2084,Chennai,Gold,107,Spice Kitchen Punjabi,Mexican,4.0,163.93,2023,7,July,Saturday,3,28,True,Summer,Small
4,2023-10-04,319,User_319,Bangalore,Gold,224,Darbar Kitchen Non-Veg,Chinese,4.8,1155.97,2023,10,October,Wednesday,4,40,False,Fall,Extra Large
5,2023-12-25,1064,User_1064,Pune,Regular,293,Royal Eatery South Indian,,,1321.91,2023,12,December,Monday,4,52,False,Winter,Extra Large
6,2023-07-12,2933,User_2933,Chennai,Regular,499,Annapurna Tiffins South Indian,,,1497.22,2023,7,July,Wednesday,3,28,False,Summer,Extra Large
7,2023-05-30,970,User_970,Bangalore,Regular,35,Royal Biryani North Indian,Chinese,3.9,129.21,2023,5,May,Tuesday,2,22,False,Spring,Small
8,2023-11-07,891,User_891,Pune,Regular,57,Spice Mess Punjabi,Mexican,4.4,269.19,2023,11,November,Tuesday,4,45,False,Fall,Small
9,2023-12-05,364,User_364,Chennai,Gold,7,Ruchi Biryani Punjabi,Italian,3.2,953.3,2023,12,December,Tuesday,4,49,False,Winter,Extra Large
10,2023-12-30,2972,User_2972,Bangalore,Regular,183,Taste of Biryani Non-Veg,Chinese,3.7,351.41,2023,12,December,Saturday,4,52,True,Winter,Medium
11,2023-12-10,924,User_924,Chennai,Regular,235,Amma Delights Family Restaurant,Italian,4.5,523.82,2023,12,December,Sunday,4,49,True,Winter,Medium
12,2023-10-27,884,User_884,Pune,Gold,423,Royal Tiffins Multicuisine,,,1484.65,2023,10,October,Friday,4,43,False,Fall,Extra Large
13,2023-08-11,1958,User_1958,Chennai,Regular,244,Amma Tiffins South Indian,Italian,4.3,216.59,2023,8,August,Friday,3,32,False,Summer,Small
14,2023-09-24,364,User_364,Chennai,Gold,112,Grand Cafe Punjabi,Chinese,3.2,898.24,2023,9,September,Sunday,3,38,True,Fall,Large
15,2023-07-17,1733,User_1733,Pune,Regular,383,Amma Biryani North Indian,,,1098.41,2023,7,July,Monday,3,29,False,Summer,Extra Large
